,User_ID,User_Name,Text,Location,Followers_Count,Friends_Count,Statuses_Count,Favourites_Count,Listed_Count,Retweet_Count,Created_at,verified,Label
731,1.5669794576168632e+18,k a i 🫶🏾,"i love that i finally found a lash tech, nail tech, and beautician that are genuine and I can vibe with.. there’s n… https://t.co/1UjxWhxRDc",,2574.0,1948.0,60308.0,17524.0,2.0,1.0,Thu Apr 26 22:24:08 +0000 2012,0.0,WomanInTech
732,1.5669749841612063e+18,Jason Warner,@KateSky8 @walkingriver I hope she does. The world can use another amazing woman in tech.,,262.0,196.0,1561.0,2535.0,2.0,0.0,Wed Mar 21 14:19:52 +0000 2012,0.0,WomanInTech
733,1.5669498269814948e+18,William Raines,@NancySinatra He has dementia woman A corrupt family a politician who weaponizes the FBI media and big tech to go a… https://t.co/3lCHVWvXou,"Virginia, USA",82.0,488.0,3096.0,1675.0,3.0,0.0,Sun Nov 07 03:43:51 +0000 2021,0.0,WomanInTech
734,1.56693984378291e+18,Teagan ❤️‍🔥🤩,@kingbolby What do you call a woman on Tech’s campus? A VISTOR! https://t.co/pAtuEmgSjK,"The Library, probably",1683.0,194.0,2871.0,15489.0,6.0,0.0,Sat Feb 26 03:23:53 +0000 2022,0.0,WomanInTech
735,1.5669305622456197e+18,BitWitch 🔮,This Eliza chick went from random woman to school teacher to granddaughter of a billionaire to heiress of her famil… https://t.co/IkNJoOcQFz,USA,91.0,536.0,408.0,1564.0,7.0,0.0,Sat Dec 11 18:45:11 +0000 2021,0.0,WomanInTech
736,1.5669251807687475e+18,emily,"@EpiphanyLattice @tszzl Does image to text pick up subtlety and vibe like DALL-E does? In other words, not just, ""a… https://t.co/Wkt93gCUKU",NYC,471.0,482.0,4715.0,23540.0,4.0,0.0,Fri Jan 14 06:27:58 +0000 2022,0.0,WomanInTech
737,1.566924129789481e+18,Lauren the Flute,"I saw some great performers, like this woman who shot a bow and arrow with her feet, or this phenomenal steel drum… https://t.co/8B79D7oYv6","Toronto, Ontario",2435.0,1443.0,58570.0,61560.0,55.0,0.0,Thu Jun 30 14:37:31 +0000 2011,0.0,WomanInTech
738,1.5669173631314698e+18,💫Klibi16 (Lauren),"@Michael16097856 @frankdegods @y00tsNFT Im in the same boat. Not an influencer, artist or someone working in the we… https://t.co/2fINvze7sZ","London, England",1895.0,4866.0,11123.0,21046.0,8.0,0.0,Thu Mar 05 20:08:26 +0000 2020,0.0,WomanInTech
739,1.5669134833120092e+18,Linda L. Richards,@Fowler10Les EXIT STRATEGY is a deep dive into the world of high tech startups &amp; green tech. The hit woman we met i… https://t.co/AXs1sajyZi,,6205.0,3856.0,6999.0,8851.0,244.0,2.0,Tue Mar 10 23:43:28 +0000 2009,0.0,WomanInTech
740,1.566913376051028e+18,Linda L. Richards,@TheInkwellWC EXIT STRATEGY is a deep dive into the world of high tech startups &amp; green tech. The hit woman we met… https://t.co/hqrpMTqlci,,6205.0,3856.0,6999.0,8851.0,244.0,2.0,Tue Mar 10 23:43:28 +0000 2009,0.0,WomanInTech
